date,temperature
2025-09-28T10:53:23+03:00,68.34
2025-09-28T11:03:23+03:00,70.31
2025-09-28T11:13:23+03:00,68.86
2025-09-28T11:23:23+03:00,68.33
2025-09-28T11:33:23+03:00,68.77
2025-09-28T11:43:23+03:00,68.28
2025-09-28T11:53:23+03:00,66.68
2025-09-28T12:03:23+03:00,70.03
2025-09-28T12:13:23+03:00,69.14
2025-09-28T12:23:23+03:00,70.29
2025-09-28T12:33:23+03:00,66.22
2025-09-28T12:43:23+03:00,69.88
2025-09-28T12:53:23+03:00,69.79
2025-09-28T13:03:23+03:00,66.54
2025-09-28T13:13:23+03:00,70.54
2025-09-28T13:23:23+03:00,68.53
2025-09-28T13:33:23+03:00,69.25
2025-09-28T13:43:23+03:00,67.84
2025-09-28T13:53:23+03:00,68.16
2025-09-28T14:03:23+03:00,70.97
2025-09-28T14:13:23+03:00,69.09
2025-09-28T14:23:23+03:00,69.03
2025-09-28T14:33:23+03:00,70.0
2025-09-28T14:43:23+03:00,70.15
2025-09-28T14:53:23+03:00,70.73
2025-09-28T15:03:23+03:00,67.35
2025-09-28T15:13:23+03:00,67.7
2025-09-28T15:23:23+03:00,69.75
2025-09-28T15:33:23+03:00,69.24
2025-09-28T15:43:23+03:00,68.18
2025-09-28T15:53:23+03:00,67.26
2025-09-28T16:03:23+03:00,66.09
2025-09-28T16:13:23+03:00,69.46
2025-09-28T16:23:23+03:00,68.41
2025-09-28T16:33:23+03:00,70.66
